Customer ID,Total Amount Spent,Total Items Purchased,Last Purchase Date,Average Purchase Value
10001,2500,50,2025-09-20,50
10002,12000,200,2025-09-18,60
10003,800,20,2025-08-25,40
10004,3500,70,2025-09-30,50
10005,500,10,2025-07-10,50
10006,9500,180,2025-10-01,52.78
10007,2100,40,2025-09-22,52.5
10008,15000,250,2025-10-10,60
10009,600,15,2025-06-05,40
10010,4500,90,2025-09-25,50
10011,1200,25,2025-08-10,48
10012,3000,60,2025-09-28,50
10013,11000,200,2025-09-29,55
10014,250,5,2025-05-15,50
10015,7000,130,2025-09-30,53.85
10016,1800,35,2025-09-19,51.43
10017,950,20,2025-08-30,47.5
10018,20000,350,2025-10-11,57.14
10019,1300,30,2025-08-20,43.33
10020,400,8,2025-07-25,50
